Дата,Номер_договора,ID_клиента,Название_клиента,Тип_клиента,ID_менеджера,ФИО_менеджера,Категория,Количество,Цена_за_ед,Сумма,Статус
2026-01-01,Д-2026-01188,58,ООО «СтальИндустрия-058»,Опт,5,Соколова Е.Д.,Лист,297,254.6,75615.35,Отменено
2026-01-01,Д-2026-00647,194,Васильев Александр.,Розница,2,Петров Б.В.,Лист,6,775.56,4653.36,В работе
2026-01-01,Д-2026-00962,59,ООО «ТрубМаркет-059»,Опт,1,Иванов А.А.,Трубы,250,755.66,188914.61,Оплачено
2026-01-01,Д-2026-01252,116,Ковалев Дмитрий.,Розница,3,Сидоров В.Г.,Лист,8,516.08,4128.66,Оплачено
2026-01-01,Д-2026-01393,104,Кузнецов Дмитрий.,Розница,2,Петров Б.В.,Арматура,6,425.74,2554.46,Оплачено
2026-01-02,Д-2026-01475,59,ООО «ТрубМаркет-059»,Опт,1,Иванов А.А.,Трубы,143,769.78,110078.22,Отменено
2026-01-02,Д-2026-01764,109,ООО «ВолгаМет-109»,Опт,1,Иванов А.А.,Трубы,58,334.62,19407.95,Оплачено
2026-01-02,Д-2026-01197,76,Ковалев Андрей.,Розница,3,Сидоров В.Г.,Лист,6,679.03,4074.18,Оплачено
2026-01-02,Д-2026-00024,197,Павлов Александр.,Розница,3,Сидоров В.Г.,Лист,9,702.92,6326.28,В работе
2026-01-02,Д-2026-01344,104,Кузнецов Дмитрий.,Розница,2,Петров Б.В.,Арматура,24,249.66,5991.77,В работе
2026-01-02,Д-2026-00961,6,ООО «ПрофМет-006»,Опт,2,Петров Б.В.,Арматура,603,210.98,127223.27,Отменено
2026-01-02,Д-2026-01782,186,Попов Александр.,Розница,4,Кузнецов Д.Е.,Метизы,34,36.25,1232.65,Оплачено
2026-01-03,Д-2026-01564,151,Волков Михаил.,Розница,3,Сидоров В.Г.,Трубы,5,1106.09,5530.43,Отменено
2026-01-03,Д-2026-01380,74,Васильев Андрей.,Розница,3,Сидоров В.Г.,Арматура,19,444.14,8438.67,Оплачено
2026-01-03,Д-2026-00719,90,Морозов Алексей.,Розница,3,Сидоров В.Г.,Арматура,3,197.69,593.07,Оплачено
2026-01-03,Д-2026-00214,165,ООО «ЛистМет-165»,Опт,1,Иванов А.А.,Лист,272,687.19,186916.34,Оплачено
2026-01-03,Д-2026-00876,187,Лебедев Александр.,Розница,3,Сидоров В.Г.,Трубы,7,756.98,5298.84,Оплачено
2026-01-04,Д-2026-00620,146,ООО «ПрофМет-146»,Опт,5,Соколова Е.Д.,Лист,238,176.22,41939.38,В работе
2026-01-04,Д-2026-00310,162,Петров Владимир.,Розница,3,Сидоров В.Г.,Лист,5,203.97,1019.83,Отозвано
2026-01-04,Д-2026-00968,74,Васильев Андрей.,Розница,3,Сидоров В.Г.,Трубы,1,733.71,733.71,Оплачено
2026-01-04,Д-2026-01004,47,ООО «УралСталь-047»,Опт,1,Иванов А.А.,Лист,280,673.94,188702.82,Оплачено
